t,phi,omega,T,U,E
0.000000,2.356194,0.000000,0.000000,6.936718,6.936718
0.010000,2.355848,-0.069375,0.002406,6.934311,6.936718
0.020000,2.354807,-0.138798,0.009633,6.927085,6.936718
0.030000,2.353071,-0.208318,0.021698,6.915019,6.936718
0.040000,2.350640,-0.277981,0.038637,6.898081,6.936718
0.050000,2.347511,-0.347837,0.060495,6.876222,6.936718
0.060000,2.343682,-0.417931,0.087333,6.849384,6.936718
0.070000,2.339152,-0.488312,0.119224,6.817493,6.936718
0.080000,2.333915,-0.559025,0.156254,6.780463,6.936718
0.090000,2.327970,-0.630117,0.198524,6.738194,6.936718
0.100000,2.321311,-0.701634,0.246145,6.690572,6.936718
0.110000,2.313935,-0.773621,0.299244,6.637473,6.936718
0.120000,2.305837,-0.846120,0.357960,6.578758,6.936718
0.130000,2.297011,-0.919177,0.422443,6.514275,6.936718
0.140000,2.287452,-0.992832,0.492857,6.443860,6.936718
0.150000,2.277152,-1.067126,0.569379,6.367338,6.936718
0.160000,2.266107,-1.142100,0.652197,6.284521,6.936718
0.170000,2.254308,-1.217792,0.741509,6.195209,6.936718
0.180000,2.241749,-1.294238,0.837526,6.099192,6.936718
0.190000,2.228421,-1.371473,0.940469,5.996249,6.936718
0.200000,2.214316,-1.449530,1.050569,5.886149,6.936718
0.210000,2.199427,-1.528441,1.168065,5.768652,6.936718
0.220000,2.183745,-1.608232,1.293206,5.643512,6.936718
0.230000,2.167260,-1.688932,1.426245,5.510472,6.936718
0.240000,2.149963,-1.770561,1.567444,5.369274,6.936718
0.250000,2.131845,-1.853141,1.717066,5.219651,6.936718
0.260000,2.112897,-1.936688,1.875381,5.061337,6.936718
0.270000,2.093108,-2.021215,2.042655,4.894062,6.936718
0.280000,2.072469,-2.106731,2.219157,4.717560,6.936718
0.290000,2.050970,-2.193240,2.405151,4.531567,6.936718
0.300000,2.028601,-2.280743,2.600894,4.335824,6.936718
0.310000,2.005352,-2.369234,2.806634,4.130083,6.936717
0.320000,1.981213,-2.458703,3.022610,3.914108,6.936717
0.330000,1.956175,-2.549134,3.249042,3.687676,6.936717
0.340000,1.930227,-2.640504,3.486132,3.450586,6.936717
0.350000,1.903362,-2.732785,3.734058,3.202660,6.936717
0.360000,1.875569,-2.825941,3.992971,2.943746,6.936717
0.370000,1.846840,-2.919928,4.262989,2.673728,6.936717
0.380000,1.817168,-3.014695,4.544192,2.392526,6.936717
0.390000,1.786544,-3.110182,4.836616,2.100101,6.936717
0.400000,1.754962,-3.206322,5.140250,1.796468,6.936717
0.410000,1.722415,-3.303037,5.455026,1.481691,6.936717
0.420000,1.688899,-3.400241,5.780818,1.155900,6.936717
0.430000,1.654409,-3.497836,6.117430,0.819288,6.936717
0.440000,1.618942,-3.595718,6.464594,0.472124,6.936717
0.450000,1.582494,-3.693768,6.821962,0.114755,6.936717
0.460000,1.545066,-3.791860,7.189102,-0.252385,6.936717
0.470000,1.506657,-3.889856,7.565488,-0.628771,6.936717
0.480000,1.467270,-3.987605,7.950498,-1.013781,6.936717
0.490000,1.426907,-4.084950,8.343408,-1.406691,6.936717
0.500000,1.385573,-4.181719,8.743388,-1.806670,6.936717
0.510000,1.343275,-4.277732,9.149496,-2.212778,6.936717
0.520000,1.300021,-4.372798,9.560679,-2.623962,6.936717
0.530000,1.255823,-4.466715,9.975771,-3.039053,6.936717
0.540000,1.210692,-4.559274,10.393489,-3.456772,6.936717
0.550000,1.164643,-4.650256,10.812442,-3.875725,6.936717
0.560000,1.117692,-4.739436,11.231126,-4.294409,6.936717
0.570000,1.069861,-4.826580,11.647936,-4.711218,6.936717
0.580000,1.021168,-4.911449,12.061167,-5.124449,6.936717
0.590000,0.971640,-4.993802,12.469027,-5.532310,6.936717
0.600000,0.921302,-5.073391,12.869649,-5.932932,6.936717
0.610000,0.870182,-5.149971,13.261100,-6.324382,6.936717
0.620000,0.818313,-5.223294,13.641398,-6.704680,6.936717
0.630000,0.765728,-5.293114,14.008531,-7.071813,6.936717
0.640000,0.712463,-5.359193,14.360474,-7.423756,6.936717
0.650000,0.658557,-5.421293,14.695210,-7.758492,6.936718
0.660000,0.604051,-5.479188,15.010752,-8.074035,6.936718
0.670000,0.548988,-5.532660,15.305166,-8.368448,6.936718
0.680000,0.493414,-5.581504,15.576592,-8.639875,6.936718
0.690000,0.437374,-5.625526,15.823272,-8.886554,6.936718
0.700000,0.380920,-5.664551,16.043567,-9.106849,6.936718
0.710000,0.324101,-5.698418,16.235985,-9.299267,6.936718
0.720000,0.266969,-5.726988,16.399197,-9.462480,6.936718
0.730000,0.209579,-5.750141,16.532061,-9.595344,6.936718
0.740000,0.151985,-5.767778,16.633633,-9.696916,6.936718
0.750000,0.094242,-5.779825,16.703186,-9.766468,6.936718
