t,phi,omega,T,U,E
0.000000,1.570796,0.000000,0.000000,-0.000000,-0.000000
0.010000,1.570306,-0.098100,0.004812,-0.004812,-0.000000
0.020000,1.568834,-0.196200,0.019247,-0.019247,-0.000000
0.030000,1.566382,-0.294299,0.043306,-0.043306,-0.000000
0.040000,1.562948,-0.392398,0.076988,-0.076988,-0.000000
0.050000,1.558534,-0.490493,0.120292,-0.120292,-0.000000
0.060000,1.553139,-0.588582,0.173214,-0.173214,-0.000000
0.070000,1.546762,-0.686660,0.235751,-0.235751,-0.000000
0.080000,1.539405,-0.784723,0.307895,-0.307895,-0.000000
0.090000,1.531068,-0.882761,0.389633,-0.389633,-0.000000
0.100000,1.521750,-0.980764,0.480949,-0.480949,-0.000000
0.110000,1.511453,-1.078720,0.581818,-0.581818,-0.000000
0.120000,1.500176,-1.176613,0.692209,-0.692209,-0.000000
0.130000,1.487921,-1.274424,0.812078,-0.812078,-0.000000
0.140000,1.474688,-1.372132,0.941373,-0.941373,-0.000000
0.150000,1.460479,-1.469710,1.080023,-1.080023,-0.000000
0.160000,1.445294,-1.567128,1.227946,-1.227946,-0.000000
0.170000,1.429137,-1.664354,1.385038,-1.385038,-0.000000
0.180000,1.412008,-1.761350,1.551176,-1.551176,-0.000000
0.190000,1.393911,-1.858071,1.726214,-1.726214,-0.000000
0.200000,1.374848,-1.954472,1.909979,-1.909979,-0.000000
0.210000,1.354822,-2.050498,2.102271,-2.102271,-0.000000
0.220000,1.333839,-2.146093,2.302858,-2.302858,-0.000000
0.230000,1.311902,-2.241194,2.511475,-2.511475,-0.000000
0.240000,1.289017,-2.335731,2.727819,-2.727819,-0.000000
0.250000,1.265190,-2.429630,2.951552,-2.951552,-0.000000
0.260000,1.240427,-2.522812,3.182291,-3.182291,-0.000000
0.270000,1.214736,-2.615191,3.419611,-3.419612,-0.000000
0.280000,1.188126,-2.706675,3.663044,-3.663044,-0.000000
0.290000,1.160606,-2.797167,3.912070,-3.912070,-0.000000
0.300000,1.132186,-2.886564,4.166125,-4.166125,-0.000000
0.310000,1.102879,-2.974758,4.424592,-4.424592,-0.000000
0.320000,1.072696,-3.061635,4.686805,-4.686805,-0.000000
0.330000,1.041651,-3.147077,4.952048,-4.952048,-0.000000
0.340000,1.009759,-3.230961,5.219554,-5.219554,-0.000000
0.350000,0.977037,-3.313157,5.488506,-5.488506,-0.000000
0.360000,0.943502,-3.393535,5.758041,-5.758041,-0.000000
0.370000,0.909173,-3.471959,6.027249,-6.027249,-0.000000
0.380000,0.874070,-3.548290,6.295179,-6.295179,-0.000000
0.390000,0.838215,-3.622386,6.560842,-6.560842,-0.000000
0.400000,0.801630,-3.694107,6.823212,-6.823212,-0.000000
0.410000,0.764341,-3.763306,7.081237,-7.081237,-0.000000
0.420000,0.726373,-3.829841,7.333841,-7.333841,-0.000000
0.430000,0.687753,-3.893567,7.579933,-7.579933,-0.000000
0.440000,0.648511,-3.954342,7.818411,-7.818411,-0.000000
0.450000,0.608677,-4.012026,8.048176,-8.048176,-0.000000
0.460000,0.568282,-4.066481,8.268133,-8.268133,-0.000000
0.470000,0.527358,-4.117574,8.477208,-8.477208,-0.000000
0.480000,0.485942,-4.165177,8.674350,-8.674350,-0.000000
0.490000,0.444067,-4.209168,8.858547,-8.858547,0.000000
0.500000,0.401771,-4.249430,9.028829,-9.028829,0.000000
0.510000,0.359091,-4.285857,9.184285,-9.184285,0.000000
0.520000,0.316067,-4.318348,9.324065,-9.324065,0.000000
0.530000,0.272738,-4.346813,9.447394,-9.447394,0.000000
0.540000,0.229144,-4.371173,9.553578,-9.553578,0.000000
0.550000,0.185328,-4.391358,9.642012,-9.642012,0.000000
0.560000,0.141331,-4.407309,9.712188,-9.712188,0.000000
0.570000,0.097196,-4.418981,9.763698,-9.763698,0.000000
0.580000,0.052966,-4.426340,9.796243,-9.796243,0.000000
0.590000,0.008684,-4.429363,9.809630,-9.809630,0.000000
0.600000,-0.035607,-4.428043,9.803782,-9.803782,0.000000
0.610000,-0.079863,-4.422382,9.778732,-9.778732,0.000000
0.620000,-0.124040,-4.412398,9.734629,-9.734629,0.000000
0.630000,-0.168096,-4.398120,9.671729,-9.671729,0.000000
0.640000,-0.211988,-4.379589,9.590398,-9.590398,0.000000
0.650000,-0.255674,-4.356858,9.491107,-9.491107,0.000000
0.660000,-0.299112,-4.329994,9.374423,-9.374423,0.000000
0.670000,-0.342260,-4.299071,9.241005,-9.241005,0.000000
0.680000,-0.385080,-4.264176,9.091598,-9.091598,0.000000
0.690000,-0.427531,-4.225405,8.927024,-8.927024,-0.000000
0.700000,-0.469575,-4.182863,8.748171,-8.748171,-0.000000
0.710000,-0.511176,-4.136662,8.555986,-8.555986,-0.000000
0.720000,-0.552297,-4.086922,8.351467,-8.351467,-0.000000
0.730000,-0.592903,-4.033770,8.135649,-8.135649,-0.000000
0.740000,-0.632961,-3.977336,7.909601,-7.909601,-0.000000
0.750000,-0.672439,-3.917756,7.674408,-7.674408,-0.000000
0.760000,-0.711306,-3.855171,7.431170,-7.431170,-0.000000
0.770000,-0.749533,-3.789720,7.180989,-7.180989,-0.000000
0.780000,-0.787092,-3.721548,6.924960,-6.924960,-0.000000
0.790000,-0.823956,-3.650799,6.664167,-6.664167,-0.000000
0.800000,-0.860100,-3.577617,6.399671,-6.399671,-0.000000
0.810000,-0.895500,-3.502145,6.132510,-6.132510,-0.000000
0.820000,-0.930135,-3.424525,5.863687,-5.863687,-0.000000
0.830000,-0.963984,-3.344898,5.594170,-5.594170,-0.000000
0.840000,-0.997027,-3.263398,5.324884,-5.324884,-0.000000
0.850000,-1.029246,-3.180161,5.056711,-5.056711,-0.000000
0.860000,-1.060625,-3.095315,4.790487,-4.790487,-0.000000
0.870000,-1.091148,-3.008986,4.526997,-4.526997,-0.000000
0.880000,-1.120800,-2.921294,4.266979,-4.266979,-0.000000
0.890000,-1.149569,-2.832355,4.011118,-4.011118,-0.000000
0.900000,-1.177443,-2.742280,3.760050,-3.760050,-0.000000
0.910000,-1.204411,-2.651173,3.514360,-3.514360,-0.000000
0.920000,-1.230464,-2.559134,3.274584,-3.274584,-0.000000
0.930000,-1.255591,-2.466257,3.041212,-3.041212,-0.000000
0.940000,-1.279786,-2.372629,2.814684,-2.814684,-0.000000
0.950000,-1.303042,-2.278333,2.595400,-2.595400,-0.000000
0.960000,-1.325351,-2.183445,2.383715,-2.383715,-0.000000
0.970000,-1.346709,-2.088036,2.179946,-2.179946,-0.000000
0.980000,-1.367110,-1.992171,1.984373,-1.984373,-0.000000
0.990000,-1.386551,-1.895911,1.797238,-1.797239,-0.000000
1.000000,-1.405027,-1.799309,1.618757,-1.618757,-0.000000
1.010000,-1.422536,-1.702416,1.449110,-1.449110,-0.000000
1.020000,-1.439075,-1.605276,1.288455,-1.288455,-0.000000
1.030000,-1.454641,-1.507928,1.136923,-1.136923,-0.000000
1.040000,-1.469233,-1.410409,0.994626,-0.994626,-0.000000
1.050000,-1.482849,-1.312749,0.861655,-0.861655,-0.000000
1.060000,-1.495487,-1.214975,0.738083,-0.738083,-0.000000
1.070000,-1.507148,-1.117112,0.623970,-0.623970,-0.000000
1.080000,-1.517829,-1.019179,0.519363,-0.519363,-0.000000
1.090000,-1.527531,-0.921192,0.424298,-0.424298,-0.000000
1.100000,-1.536253,-0.823167,0.338802,-0.338802,-0.000000
1.110000,-1.543995,-0.725113,0.262894,-0.262894,-0.000000
1.120000,-1.550755,-0.627040,0.196589,-0.196589,-0.000000
1.130000,-1.556535,-0.528954,0.139896,-0.139896,-0.000000
1.140000,-1.561334,-0.430861,0.092821,-0.092821,-0.000000
1.150000,-1.565152,-0.332764,0.055366,-0.055366,-0.000000
1.160000,-1.567990,-0.234665,0.027534,-0.027534,-0.000000
1.170000,-1.569846,-0.136565,0.009325,-0.009325,-0.000000
1.180000,-1.570721,-0.038465,0.000740,-0.000740,-0.000000
1.190000,-1.570615,0.059635,0.001778,-0.001778,-0.000000
1.200000,-1.569528,0.157735,0.012440,-0.012440,-0.000000
1.210000,-1.567460,0.255835,0.032726,-0.032726,-0.000000
1.220000,-1.564412,0.353934,0.062635,-0.062635,-0.000000
1.230000,-1.560382,0.452030,0.102166,-0.102166,-0.000000
1.240000,-1.555371,0.550122,0.151317,-0.151317,-0.000000
1.250000,-1.549379,0.648205,0.210085,-0.210085,-0.000000
1.260000,-1.542407,0.746275,0.278463,-0.278463,-0.000000
1.270000,-1.534454,0.844324,0.356441,-0.356441,-0.000000
1.280000,-1.525520,0.942342,0.444004,-0.444004,-0.000000
1.290000,-1.515607,1.040318,0.541131,-0.541131,-0.000000
1.300000,-1.504714,1.138238,0.647793,-0.647793,-0.000000
1.310000,-1.492843,1.236084,0.763951,-0.763951,-0.000000
1.320000,-1.479993,1.333835,0.889557,-0.889557,-0.000000
1.330000,-1.466166,1.431467,1.024548,-1.024548,-0.000000
1.340000,-1.451364,1.528952,1.168847,-1.168847,-0.000000
1.350000,-1.435588,1.626258,1.322357,-1.322357,-0.000000
1.360000,-1.418840,1.723348,1.484964,-1.484964,-0.000000
1.370000,-1.401122,1.820182,1.656532,-1.656532,-0.000000
1.380000,-1.382437,1.916715,1.836898,-1.836898,-0.000000
1.390000,-1.362789,2.012894,2.025872,-2.025872,-0.000000
