t,phi,omega,T,U,E
0.000000,0.785398,0.000000,0.000000,-9.809078,-9.809078
0.010000,0.785391,-0.001345,0.000001,-9.809078,-9.809077
0.020000,0.785371,-0.002689,0.000004,-9.809078,-9.809075
0.030000,0.785338,-0.004034,0.000008,-9.809078,-9.809070
0.040000,0.785291,-0.005379,0.000014,-9.809079,-9.809064
0.050000,0.785230,-0.006723,0.000023,-9.809079,-9.809056
0.060000,0.785156,-0.008067,0.000033,-9.809079,-9.809046
0.070000,0.785069,-0.009412,0.000044,-9.809079,-9.809035
0.080000,0.784968,-0.010756,0.000058,-9.809079,-9.809022
0.090000,0.784854,-0.012099,0.000073,-9.809080,-9.809006
0.100000,0.784726,-0.013443,0.000090,-9.809080,-9.808990
0.110000,0.784585,-0.014787,0.000109,-9.809080,-9.808971
0.120000,0.784430,-0.016130,0.000130,-9.809081,-9.808951
0.130000,0.784262,-0.017473,0.000153,-9.809081,-9.808928
0.140000,0.784081,-0.018815,0.000177,-9.809081,-9.808904
0.150000,0.783886,-0.020157,0.000203,-9.809082,-9.808879
0.160000,0.783678,-0.021499,0.000231,-9.809082,-9.808851
0.170000,0.783456,-0.022841,0.000261,-9.809083,-9.808822
0.180000,0.783221,-0.024182,0.000292,-9.809083,-9.808791
0.190000,0.782972,-0.025523,0.000326,-9.809084,-9.808758
0.200000,0.782710,-0.026863,0.000361,-9.809085,-9.808724
0.210000,0.782435,-0.028203,0.000398,-9.809085,-9.808688
0.220000,0.782146,-0.029542,0.000436,-9.809086,-9.808650
0.230000,0.781844,-0.030881,0.000477,-9.809087,-9.808610
0.240000,0.781529,-0.032220,0.000519,-9.809087,-9.808568
0.250000,0.781200,-0.033557,0.000563,-9.809088,-9.808525
0.260000,0.780857,-0.034895,0.000609,-9.809089,-9.808480
0.270000,0.780502,-0.036231,0.000656,-9.809090,-9.808433
0.280000,0.780133,-0.037567,0.000706,-9.809091,-9.808385
0.290000,0.779751,-0.038903,0.000757,-9.809092,-9.808335
0.300000,0.779355,-0.040237,0.000810,-9.809092,-9.808283
0.310000,0.778946,-0.041571,0.000864,-9.809093,-9.808229
0.320000,0.778523,-0.042905,0.000920,-9.809094,-9.808174
0.330000,0.778088,-0.044237,0.000978,-9.809095,-9.808117
0.340000,0.777639,-0.045569,0.001038,-9.809096,-9.808058
0.350000,0.777176,-0.046900,0.001100,-9.809098,-9.807998
0.360000,0.776701,-0.048230,0.001163,-9.809099,-9.807936
0.370000,0.776212,-0.049559,0.001228,-9.809100,-9.807872
0.380000,0.775709,-0.050888,0.001295,-9.809101,-9.807806
0.390000,0.775194,-0.052216,0.001363,-9.809102,-9.807739
0.400000,0.774665,-0.053542,0.001433,-9.809103,-9.807670
0.410000,0.774123,-0.054868,0.001505,-9.809105,-9.807599
0.420000,0.773568,-0.056193,0.001579,-9.809106,-9.807527
0.430000,0.772999,-0.057517,0.001654,-9.809107,-9.807453
0.440000,0.772417,-0.058840,0.001731,-9.809109,-9.807377
0.450000,0.771822,-0.060162,0.001810,-9.809110,-9.807300
0.460000,0.771214,-0.061483,0.001890,-9.809111,-9.807221
0.470000,0.770593,-0.062803,0.001972,-9.809113,-9.807141
0.480000,0.769958,-0.064122,0.002056,-9.809114,-9.807058
0.490000,0.769310,-0.065439,0.002141,-9.809116,-9.806975
0.500000,0.768649,-0.066756,0.002228,-9.809117,-9.806889
0.510000,0.767975,-0.068071,0.002317,-9.809119,-9.806802
0.520000,0.767288,-0.069386,0.002407,-9.809120,-9.806713
0.530000,0.766588,-0.070699,0.002499,-9.809122,-9.806623
0.540000,0.765874,-0.072011,0.002593,-9.809124,-9.806531
0.550000,0.765147,-0.073321,0.002688,-9.809125,-9.806437
0.560000,0.764408,-0.074631,0.002785,-9.809127,-9.806342
0.570000,0.763655,-0.075939,0.002883,-9.809129,-9.806245
0.580000,0.762889,-0.077246,0.002983,-9.809130,-9.806147
0.590000,0.762110,-0.078551,0.003085,-9.809132,-9.806047
0.600000,0.761318,-0.079855,0.003188,-9.809134,-9.805946
0.610000,0.760513,-0.081158,0.003293,-9.809136,-9.805843
0.620000,0.759695,-0.082459,0.003400,-9.809138,-9.805738
0.630000,0.758864,-0.083759,0.003508,-9.809140,-9.805632
0.640000,0.758019,-0.085058,0.003617,-9.809141,-9.805524
0.650000,0.757162,-0.086355,0.003729,-9.809143,-9.805415
0.660000,0.756292,-0.087651,0.003841,-9.809145,-9.805304
0.670000,0.755409,-0.088945,0.003956,-9.809147,-9.805192
0.680000,0.754513,-0.090237,0.004071,-9.809149,-9.805078
0.690000,0.753605,-0.091528,0.004189,-9.809151,-9.804963
0.700000,0.752683,-0.092818,0.004308,-9.809154,-9.804846
0.710000,0.751748,-0.094106,0.004428,-9.809156,-9.804728
0.720000,0.750801,-0.095392,0.004550,-9.809158,-9.804608
0.730000,0.749840,-0.096677,0.004673,-9.809160,-9.804487
0.740000,0.748867,-0.097960,0.004798,-9.809162,-9.804364
0.750000,0.747881,-0.099241,0.004924,-9.809164,-9.804240
0.760000,0.746882,-0.100521,0.005052,-9.809167,-9.804114
0.770000,0.745871,-0.101798,0.005181,-9.809169,-9.803987
0.780000,0.744846,-0.103075,0.005312,-9.809171,-9.803859
0.790000,0.743809,-0.104349,0.005444,-9.809173,-9.803729
0.800000,0.742759,-0.105622,0.005578,-9.809176,-9.803598
0.810000,0.741697,-0.106892,0.005713,-9.809178,-9.803465
0.820000,0.740622,-0.108161,0.005849,-9.809180,-9.803331
0.830000,0.739534,-0.109428,0.005987,-9.809183,-9.803196
0.840000,0.738433,-0.110694,0.006127,-9.809185,-9.803059
0.850000,0.737320,-0.111957,0.006267,-9.809188,-9.802921
0.860000,0.736194,-0.113218,0.006409,-9.809190,-9.802781
0.870000,0.735055,-0.114478,0.006553,-9.809193,-9.802640
0.880000,0.733904,-0.115735,0.006697,-9.809195,-9.802498
0.890000,0.732741,-0.116991,0.006843,-9.809198,-9.802354
0.900000,0.731565,-0.118244,0.006991,-9.809200,-9.802209
0.910000,0.730376,-0.119496,0.007140,-9.809203,-9.802063
0.920000,0.729175,-0.120745,0.007290,-9.809206,-9.801916
0.930000,0.727961,-0.121993,0.007441,-9.809208,-9.801767
0.940000,0.726735,-0.123238,0.007594,-9.809211,-9.801617
0.950000,0.725496,-0.124481,0.007748,-9.809214,-9.801466
0.960000,0.724245,-0.125722,0.007903,-9.809216,-9.801313
0.970000,0.722982,-0.126961,0.008060,-9.809219,-9.801159
0.980000,0.721706,-0.128198,0.008217,-9.809222,-9.801004
0.990000,0.720418,-0.129433,0.008376,-9.809225,-9.800848
1.000000,0.719117,-0.130665,0.008537,-9.809227,-9.800691
1.010000,0.717805,-0.131895,0.008698,-9.809230,-9.800532
1.020000,0.716479,-0.133123,0.008861,-9.809233,-9.800372
1.030000,0.715142,-0.134348,0.009025,-9.809236,-9.800211
1.040000,0.713792,-0.135572,0.009190,-9.809239,-9.800049
1.050000,0.712431,-0.136793,0.009356,-9.809242,-9.799886
1.060000,0.711057,-0.138011,0.009524,-9.809245,-9.799721
1.070000,0.709670,-0.139227,0.009692,-9.809248,-9.799555
1.080000,0.708272,-0.140441,0.009862,-9.809250,-9.799389
1.090000,0.706862,-0.141653,0.010033,-9.809253,-9.799221
1.100000,0.705439,-0.142862,0.010205,-9.809256,-9.799052
1.110000,0.704004,-0.144068,0.010378,-9.809259,-9.798882
1.120000,0.702558,-0.145272,0.010552,-9.809263,-9.798710
1.130000,0.701099,-0.146474,0.010727,-9.809266,-9.798538
1.140000,0.699628,-0.147673,0.010904,-9.809269,-9.798365
1.150000,0.698146,-0.148870,0.011081,-9.809272,-9.798191
1.160000,0.696651,-0.150064,0.011260,-9.809275,-9.798015
1.170000,0.695144,-0.151255,0.011439,-9.809278,-9.797839
1.180000,0.693626,-0.152444,0.011620,-9.809281,-9.797662
1.190000,0.692095,-0.153630,0.011801,-9.809284,-9.797483
1.200000,0.690553,-0.154814,0.011984,-9.809288,-9.797304
1.210000,0.688999,-0.155995,0.012167,-9.809291,-9.797123
1.220000,0.687433,-0.157173,0.012352,-9.809294,-9.796942
1.230000,0.685856,-0.158349,0.012537,-9.809297,-9.796760
1.240000,0.684266,-0.159522,0.012724,-9.809300,-9.796577
1.250000,0.682665,-0.160692,0.012911,-9.809304,-9.796393
1.260000,0.681052,-0.161860,0.013099,-9.809307,-9.796208
1.270000,0.679428,-0.163024,0.013288,-9.809310,-9.796022
1.280000,0.677792,-0.164186,0.013479,-9.809314,-9.795835
1.290000,0.676144,-0.165345,0.013670,-9.809317,-9.795647
1.300000,0.674485,-0.166501,0.013861,-9.809320,-9.795459
1.310000,0.672814,-0.167655,0.014054,-9.809324,-9.795270
1.320000,0.671132,-0.168805,0.014248,-9.809327,-9.795079
1.330000,0.669438,-0.169953,0.014442,-9.809330,-9.794888
1.340000,0.667733,-0.171098,0.014637,-9.809334,-9.794697
1.350000,0.666016,-0.172239,0.014833,-9.809337,-9.794504
1.360000,0.664288,-0.173378,0.015030,-9.809341,-9.794311
1.370000,0.662549,-0.174514,0.015228,-9.809344,-9.794117
1.380000,0.660798,-0.175647,0.015426,-9.809348,-9.793922
1.390000,0.659036,-0.176777,0.015625,-9.809351,-9.793726
1.400000,0.657262,-0.177904,0.015825,-9.809355,-9.793530
1.410000,0.655478,-0.179027,0.016025,-9.809358,-9.793333
1.420000,0.653682,-0.180148,0.016227,-9.809362,-9.793135
1.430000,0.651875,-0.181266,0.016429,-9.809365,-9.792936
1.440000,0.650057,-0.182380,0.016631,-9.809369,-9.792737
1.450000,0.648227,-0.183492,0.016835,-9.809372,-9.792538
1.460000,0.646387,-0.184600,0.017039,-9.809376,-9.792337
1.470000,0.644535,-0.185705,0.017243,-9.809379,-9.792136
1.480000,0.642673,-0.186807,0.017448,-9.809383,-9.791934
1.490000,0.640799,-0.187906,0.017654,-9.809386,-9.791732
1.500000,0.638915,-0.189001,0.017861,-9.809390,-9.791529
1.510000,0.637019,-0.190094,0.018068,-9.809394,-9.791326
1.520000,0.635113,-0.191183,0.018275,-9.809397,-9.791122
1.530000,0.633195,-0.192268,0.018484,-9.809401,-9.790917
1.540000,0.631267,-0.193351,0.018692,-9.809405,-9.790712
1.550000,0.629328,-0.194430,0.018902,-9.809408,-9.790507
1.560000,0.627379,-0.195506,0.019111,-9.809412,-9.790301
1.570000,0.625418,-0.196578,0.019322,-9.809416,-9.790094
1.580000,0.623447,-0.197647,0.019532,-9.809419,-9.789887
1.590000,0.621465,-0.198713,0.019743,-9.809423,-9.789679
1.600000,0.619473,-0.199775,0.019955,-9.809427,-9.789472
1.610000,0.617470,-0.200834,0.020167,-9.809430,-9.789263
1.620000,0.615456,-0.201890,0.020380,-9.809434,-9.789054
1.630000,0.613432,-0.202942,0.020593,-9.809438,-9.788845
1.640000,0.611397,-0.203990,0.020806,-9.809441,-9.788635
